model,psnr,cossim
uni_v1,45dB,0.53588766
uni_v1,45dB,0.6052599
uni_v1,45dB,0.28478667
uni_v1,45dB,0.36703894
uni_v1,45dB,0.2523697
uni_v1,45dB,0.33069977
uni_v1,45dB,0.19082072
uni_v1,45dB,0.50432146
uni_v1,45dB,0.53430796
uni_v1,45dB,0.48089832
uni_v1,45dB,0.5639414
uni_v1,45dB,0.39169595
uni_v1,45dB,0.48792103
uni_v1,45dB,0.35680234
uni_v1,45dB,0.5122045
uni_v1,45dB,0.63967973
uni_v1,45dB,0.79290503
uni_v1,45dB,0.38215137
uni_v1,45dB,0.7286463
uni_v1,45dB,0.5997193
uni_v1,45dB,0.36206228
uni_v1,45dB,0.43384594
uni_v1,45dB,0.53736067
uni_v1,45dB,0.3164759
uni_v1,45dB,0.52428174
uni_v1,45dB,0.5507746
uni_v1,45dB,0.45285073
uni_v1,45dB,0.59936965
uni_v1,45dB,0.48314413
uni_v1,45dB,0.5802245
uni_v1,45dB,0.1507769
uni_v1,45dB,0.64122945
uni_v1,45dB,0.53531456
uni_v1,45dB,0.52983356
uni_v1,45dB,0.72231126
uni_v1,45dB,0.6961663
uni_v1,45dB,0.61558956
uni_v1,45dB,0.48575395
uni_v1,45dB,0.5811791
uni_v1,45dB,0.37495244
uni_v1,45dB,0.5906805
uni_v1,45dB,0.4464237
uni_v1,45dB,0.6775546
uni_v1,45dB,0.6131997
uni_v1,45dB,0.39026704
uni_v1,45dB,0.3809429
uni_v1,45dB,0.4137383
uni_v1,45dB,0.38555148
uni_v1,45dB,0.52295804
uni_v1,45dB,0.54961425
uni_v1,45dB,0.35346222
uni_v1,45dB,0.5622677
uni_v1,45dB,0.50802445
uni_v1,45dB,0.67725974
uni_v1,45dB,0.61821353
uni_v1,45dB,0.61776555
uni_v1,45dB,0.5848625
uni_v1,45dB,0.39328066
uni_v1,45dB,0.3247624
uni_v1,45dB,0.56081957
uni_v1,45dB,0.43848726
uni_v1,45dB,0.41079435
uni_v1,45dB,0.48108384
uni_v1,45dB,0.23124814
uni_v1,45dB,0.4550969
uni_v1,45dB,0.6192074
uni_v1,45dB,0.5146905
uni_v1,45dB,0.5614465
uni_v1,45dB,0.5956141
uni_v1,45dB,0.6490806
uni_v1,45dB,0.37555498
uni_v1,45dB,0.62372226
uni_v1,45dB,0.35333374
uni_v1,45dB,0.48768413
uni_v1,45dB,0.36152583
uni_v1,45dB,0.3455084
uni_v1,45dB,0.36174238
uni_v1,45dB,0.43372923
uni_v1,45dB,0.7255162
uni_v1,45dB,0.32102472
uni_v1,45dB,0.62730616
uni_v1,45dB,0.32649556
uni_v1,45dB,0.16682553
uni_v1,45dB,0.2517045
uni_v1,45dB,0.6087354
uni_v1,45dB,0.61948717
uni_v1,45dB,0.46417108
uni_v1,45dB,0.40610206
uni_v1,45dB,0.7488191
uni_v1,45dB,0.28333914
uni_v1,45dB,0.7717012
uni_v1,45dB,0.3640002
uni_v1,45dB,0.49044773
uni_v1,45dB,0.43796724
uni_v1,45dB,0.51021326
uni_v1,45dB,0.42697147
uni_v1,45dB,0.4948722
uni_v1,45dB,0.38583398
uni_v1,45dB,0.5383098
uni_v1,45dB,0.68994904
uni_v1,45dB,0.45852527
uni_v1,45dB,0.58852726
uni_v1,45dB,0.55635303
uni_v1,45dB,0.35605547
uni_v1,45dB,0.50027096
uni_v1,45dB,0.5343857
uni_v1,45dB,0.29959792
uni_v1,45dB,0.38860273
uni_v1,45dB,0.72697204
uni_v1,45dB,0.534096
uni_v1,45dB,0.5935203
uni_v1,45dB,0.17142801
uni_v1,45dB,0.5479945
uni_v1,45dB,0.4805914
uni_v1,45dB,0.4356228
uni_v1,45dB,0.4131881
uni_v1,45dB,0.30109727
uni_v1,45dB,0.5482128
uni_v1,45dB,0.5378747
uni_v1,45dB,0.38601863
uni_v1,45dB,0.62260795
uni_v1,45dB,0.41854995
uni_v1,45dB,0.57214415
uni_v1,45dB,0.3884649
uni_v1,45dB,0.4284157
uni_v1,45dB,0.6544453
uni_v1,45dB,0.41188467
uni_v1,45dB,0.3195713
uni_v1,45dB,0.38428053
uni_v1,45dB,0.79722464
uni_v1,45dB,0.6748294
uni_v1,45dB,0.42460987
uni_v1,45dB,0.40504044
uni_v1,45dB,0.65470135
uni_v1,45dB,0.47041115
uni_v1,45dB,0.62211084
uni_v1,45dB,0.42922476
uni_v1,45dB,0.63029575
uni_v1,45dB,0.55804485
uni_v1,45dB,0.44475576
uni_v1,45dB,0.24367009
uni_v1,45dB,0.41383266
uni_v1,45dB,0.5292829
uni_v1,45dB,0.25994554
uni_v1,45dB,0.38262236
uni_v1,45dB,0.63431567
uni_v1,45dB,0.26261675
uni_v1,45dB,0.48367387
uni_v1,45dB,0.4054303
uni_v1,45dB,0.44543597
uni_v1,45dB,0.36989325
uni_v1,45dB,0.4149482
uni_v1,45dB,0.61959714
uni_v1,45dB,0.53559536
uni_v1,45dB,0.55587816
uni_v1,45dB,0.43927968
uni_v1,45dB,0.5999408
uni_v1,45dB,0.5270115
uni_v1,45dB,0.5429231
uni_v1,45dB,0.42270532
uni_v1,45dB,0.521945
uni_v1,45dB,0.4280694
uni_v1,45dB,0.3834737
uni_v1,45dB,0.547711
uni_v1,45dB,0.36824137
uni_v1,45dB,0.43179196
uni_v1,45dB,0.19106263
uni_v1,45dB,0.5932702
uni_v1,45dB,0.5164181
uni_v1,45dB,0.4445911
uni_v1,45dB,0.64229035
uni_v1,45dB,0.34901616
uni_v1,45dB,0.57789844
uni_v1,45dB,0.49920082
uni_v1,45dB,0.42461067
